name,datetime,tempmax,tempmin,feelslike,humidity,precipprob,snow,windspeed,sealevelpressure,cloudcover,uvindex,sunrise,sunset,moonphase
Алматы,2025-01-01,-1,-4,-5.4,94.5,0,0,14.4,1024,97.3,4,2025-01-01T07:24:47,2025-01-01T16:27:33,0.05
Алматы,2025-01-02,-1,-6,-5.4,94.6,100,0.1,10.8,1026.5,87.2,3,2025-01-02T07:24:50,2025-01-02T16:28:26,0.08
Алматы,2025-01-03,-1,-11,-8.4,88.9,0,0,10.8,1028.1,57.5,4,2025-01-03T07:24:51,2025-01-03T16:29:22,0.12
Алматы,2025-01-04,-1,-10,-9,90.1,0,0,18,1021.2,78.8,4,2025-01-04T07:24:49,2025-01-04T16:30:19,0.16
Алматы,2025-01-05,0,-6,-7.2,83.7,0,0,21.6,1024.1,94.5,3,2025-01-05T07:24:45,2025-01-05T16:31:18,0.19
Алматы,2025-01-06,0,-6,-4.8,88.7,100,0,10.8,1027.6,92,3,2025-01-06T07:24:38,2025-01-06T16:32:18,0.23
Алматы,2025-01-07,-2,-5,-6.1,93.7,100,0.1,32.4,1024.5,94.9,4,2025-01-07T07:24:29,2025-01-07T16:33:20,0.25
Алматы,2025-01-08,-1,-10,-7.9,86.5,100,12.9,21.6,1038,83.9,3,2025-01-08T07:24:17,2025-01-08T16:34:23,0.3
Алматы,2025-01-09,-4.5,-11.3,-12.1,68.6,0,0,11.9,1046.8,21.2,4,2025-01-09T07:24:03,2025-01-09T16:35:28,0.33
Алматы,2025-01-10,-1.6,-8,-8.1,71.1,0,0,10.8,1036,10.9,4,2025-01-10T07:23:47,2025-01-10T16:36:34,0.37
Алматы,2025-01-11,-1.2,-6.5,-7.6,69,0,0,10.4,1033.2,2,4,2025-01-11T07:23:28,2025-01-11T16:37:41,0.41
Алматы,2025-01-12,-1,-6,-7.1,70,0,0,9.4,1031.1,3.6,4,2025-01-12T07:23:07,2025-01-12T16:38:50,0.44
Алматы,2025-01-13,-0.5,-5.5,-6.6,67.9,0,0,10.4,1027.8,1.9,4,2025-01-13T07:22:43,2025-01-13T16:40:00,0.48
Алматы,2025-01-14,1.6,-3.1,-4.5,62.6,0,0,12.6,1025.3,34.8,4,2025-01-14T07:22:17,2025-01-14T16:41:10,0.5
Алматы,2025-01-15,1.8,-1.9,-3.5,62.7,0,0,12.6,1026.8,99.1,3,2025-01-15T07:21:49,2025-01-15T16:42:22,0.54
Алматы,2025-01-16,1.3,-2.5,-3.9,64.6,3.2,0,11.2,1025.8,53.1,4,2025-01-16T07:21:18,2025-01-16T16:43:35,0.58
Алматы,2025-01-17,2.6,-1.4,-2.1,62.1,3.2,0,10.1,1023.5,80.9,4,2025-01-17T07:20:45,2025-01-17T16:44:49,0.61
Алматы,2025-01-18,2.8,0,-1.7,58.8,3.2,0,10.4,1024.4,22.1,4,2025-01-18T07:20:10,2025-01-18T16:46:03,0.64
Алматы,2025-01-19,3.5,-0.1,-0.8,56.8,3.2,0,9.7,1025.9,49.2,4,2025-01-19T07:19:32,2025-01-19T16:47:19,0.67
Алматы,2025-01-20,2.9,0.5,-0.8,56.9,12.9,0,9.4,1023.8,100,3,2025-01-20T07:18:53,2025-01-20T16:48:35,0.7
Алматы,2025-01-21,3.3,0.3,-0.2,53.6,16.1,0,7.9,1019.1,89.3,4,2025-01-21T07:18:11,2025-01-21T16:49:52,0.74
Астана,2025-01-01,-6,-17,-19.1,88,100,0,43.2,1018.2,89.3,2,2025-01-01T08:18:13,2025-01-01T16:17:51,0.05
Астана,2025-01-02,-4,-11,-15.6,88.3,100,2.8,50.4,1014.3,85.7,2,2025-01-02T08:18:06,2025-01-02T16:18:55,0.08
Астана,2025-01-03,-1,-10,-13.7,89.5,100,1.8,54,1017,92.3,1,2025-01-03T08:17:55,2025-01-03T16:20:02,0.12
Астана,2025-01-04,-1,-7,-12,93.7,100,0,36,1022.5,97.5,1,2025-01-04T08:17:41,2025-01-04T16:21:11,0.16
Астана,2025-01-05,-6,-8,-11.9,94.7,100,0,18,1024,97.5,2,2025-01-05T08:17:24,2025-01-05T16:22:23,0.19
Астана,2025-01-06,-4,-8,-9.5,96,100,0,10.8,1025,100,2,2025-01-06T08:17:04,2025-01-06T16:23:37,0.23
Астана,2025-01-07,-2,-6,-6.8,95.8,100,2.5,7.2,1021.6,99.5,1,2025-01-07T08:16:41,2025-01-07T16:24:53,0.25
Астана,2025-01-08,-3,-21.8,-21,79.5,100,1.4,25.2,1035,57.8,3,2025-01-08T08:16:14,2025-01-08T16:26:12,0.3
Астана,2025-01-09,-7,-16.1,-19.1,79.5,51.6,2,31,1043,95,2,2025-01-09T08:15:44,2025-01-09T16:27:33,0.33
Астана,2025-01-10,-8,-13.4,-18.7,72.7,0,0,25.9,1037.9,84.6,2,2025-01-10T08:15:11,2025-01-10T16:28:55,0.37
Астана,2025-01-11,-4.9,-16.3,-15.3,86.3,0,0,14.4,1036.6,82.6,2,2025-01-11T08:14:35,2025-01-11T16:30:20,0.41
Астана,2025-01-12,-5.8,-16.6,-15.2,80.5,0,0,10.4,1037,37.7,3,2025-01-12T08:13:56,2025-01-12T16:31:47,0.44
Астана,2025-01-13,-6.2,-16.6,-17.7,86.8,0,0,9.7,1033.6,16.7,3,2025-01-13T08:13:14,2025-01-13T16:33:15,0.48
Астана,2025-01-14,-6.7,-15.6,-18.2,85.2,6.5,0,11.9,1027.3,27.2,3,2025-01-14T08:12:29,2025-01-14T16:34:45,0.5
Астана,2025-01-15,-7.4,-13.9,-18.1,85.4,3.2,0.1,19.8,1023.1,80.4,3,2025-01-15T08:11:41,2025-01-15T16:36:17,0.54
Астана,2025-01-16,-6.2,-15.3,-16.3,91.2,12.9,0.3,19.3,1026,99.8,2,2025-01-16T08:10:50,2025-01-16T16:37:50,0.58
Астана,2025-01-17,-6.9,-14.2,-16.3,90.3,9.7,3.6,34.6,1030,100,2,2025-01-17T08:09:56,2025-01-17T16:39:24,0.61
Астана,2025-01-18,-6,-9.5,-15.7,88.2,22.6,2.4,33.6,1034.8,100,2,2025-01-18T08:09:00,2025-01-18T16:41:00,0.64
Астана,2025-01-19,-7.2,-11.3,-18.3,67.1,29,0,27.4,1038.2,80.8,3,2025-01-19T08:08:00,2025-01-19T16:42:38,0.67
Астана,2025-01-20,-4.6,-10.6,-13.4,80.2,32.3,0,18.1,1028.6,99.7,2,2025-01-20T08:06:58,2025-01-20T16:44:16,0.7
Астана,2025-01-21,-0.8,-11.3,-9.4,94.8,25.8,0,20.5,1017.4,93.5,2,2025-01-21T08:05:54,2025-01-21T16:45:56,0.74
Шымкент,2025-01-01,2,-1,-1,96.4,100,0.4,10.8,1025.9,77.4,2,2025-01-01T07:50:50,2025-01-01T16:59:46,0.05
Шымкент,2025-01-02,4,0,-2.3,93.5,0,0,21.6,1028.8,100,4,2025-01-02T07:50:54,2025-01-02T17:00:39,0.08
Шымкент,2025-01-03,3,-5,-2.5,93.8,0,0,18,1027.7,66.3,4,2025-01-03T07:50:55,2025-01-03T17:01:33,0.12
Шымкент,2025-01-04,1,-1,-0.9,92,0,0,14.4,1023.5,100,4,2025-01-04T07:50:55,2025-01-04T17:02:29,0.16
